fid,Baumnummer,Hoehe,Gattung,gebiet,Kronendurchm,pflanzjahr,strasse,Stammumfang,longitude,latitude
"81710","4036","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,54,11.6459270482,52.0533613582
"81711","4037","8","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,124,11.6459414381,52.0533333358
"81712","4038","13","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,172,11.6458315333,52.0533866167
"81713","4039","8","Prunus avium, Vogelkirsche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,150,11.6458084118,52.0534273357
"81714","4040","8","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,70,11.6457647989,52.0534446832
"81715","4041","9","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,55,11.6457235120,52.0534224082
"81716","4042","9","Acer platanoides, Spitz-Ahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,57,11.6456645169,52.0534781425
"81717","4043","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,160,11.6456489661,52.0535235478
"81718","4044","12","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,155,11.6455939378,52.0535501448
"81719","4045","9","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,55,11.6453035079,52.0537181867
"81720","4046","15","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,106,11.6452198870,52.0537842764
"81721","4047","8","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,144,11.6450931134,52.0538212080
"81722","4048","5","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,120,11.6450397865,52.0538617960
"81723","4049","13","Acer campestre, Feldahorn",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,60,11.6449393955,52.0539057791
"81724","4050","15","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,85,11.6448143489,52.0539472582
"81725","4051","13","Acer campestre, Feldahorn",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,75,11.6447195963,52.0539854488
"81726","4052","12","Robinia pseudoacacia, Robinie",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,55,11.6445244368,52.0540500857
"81727","4053","16","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,112,11.6437608186,52.0543227270
"81729","4069","13","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,194,11.6411186995,52.0546227562
"81731","4071","13","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,138,11.6409543533,52.0546361543
"81732","4072","12","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,160,11.6407735230,52.0546495621
"81733","4073","13","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,130,11.6407176955,52.0546577387
"81734","4074","12","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,164,11.6406725614,52.0546567722
"81735","4075","14","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,160,11.6406091766,52.0546629597
"81736","4076","15","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,194,11.6405473705,52.0546711803
"81737","4077","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,234,11.6404736152,52.0546672582
"81750","4078","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,5,,Bäume - Liegenschaftsservice,204,11.6403772413,52.0546780523
"81751","4079","24","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,9,,Bäume - Liegenschaftsservice,400,11.6399323706,52.0547409952
"81752","4080","6","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,240,11.6398120769,52.0547716604
"81753","4081","9","Prunus spec., Kirsche, Pflaume",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,120,11.6397255775,52.0547965319
"81755","4083","10","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,60,11.6396738580,52.0548026373
"81756","4084","14","Quercus robur, Stieleiche",Liegenschaftsservice,7,,Bäume - Liegenschaftsservice,122,11.6395969392,52.0548539138
"81757","4085","14","Quercus robur, Stieleiche",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,105,11.6394482535,52.0549325193
"81758","4086","11","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,180,11.6394246467,52.0549230659
"81759","4087","11","Acer campestre, Feldahorn",Liegenschaftsservice,6,,Bäume - Liegenschaftsservice,150,11.6394035057,52.0549381086
"81760","4088","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,300,11.6393266472,52.0549879447
"81762","4090","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,60,11.6391920875,52.0550513045
"81763","4091","8","Acer campestre, Feldahorn",Liegenschaftsservice,4,,Bäume - Liegenschaftsservice,55,11.6390490816,52.0551545134
"81764","4092","20","Populus canadensis Hybride, Schwarzpappel-Hybride",Liegenschaftsservice,8,,Bäume - Liegenschaftsservice,285,11.6390863087,52.0551821876
