fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2723,  4397 - Lieg4397,"Prunus spec., Kirsche, Pflaume",190,5,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.649576402966,52.1805260335994
2724,  4398 - Lieg4398,"Prunus spec., Kirsche, Pflaume",122,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6495722159418,52.180490065509
2725,  4399 - Lieg4399,"Prunus spec., Kirsche, Pflaume",74,6,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.64960306874,52.1804627527083
2726,  4400 - Lieg4400,"Prunus spec., Kirsche, Pflaume",100,6,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496187883454,52.1804269667805
2727,  4401 - Lieg4401,"Prunus spec., Kirsche, Pflaume",104,4,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496313983686,52.1804028517825
2728,  4402 - Lieg4402,"Prunus spec., Kirsche, Pflaume",88,7,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496413905251,52.1803912959716
2729,  4403 - Lieg4403,"Prunus spec., Kirsche, Pflaume",186,4,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496650742062,52.180432851266
2730,  4404 - Lieg4404,"Prunus spec., Kirsche, Pflaume",130,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496989126198,52.1804139248228
2731,  4405 - Lieg4405,"Prunus spec., Kirsche, Pflaume",156,12,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496955384072,52.1804875639092
2732,  4406 - Lieg4406,"Prunus spec., Kirsche, Pflaume",50,6,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6497285144506,52.180429537013
2733,  4407 - Lieg4407,"Prunus spec., Kirsche, Pflaume",92,8,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6497182774713,52.1804984740766
2734,  4419 - Lieg4419,"Acer pseudoplatanus, Berg-Ahorn",55,12,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.649727762062,52.1803603073345
2735,  4423 - Lieg4423,"Prunus spec., Kirsche, Pflaume",50,8,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496424280126,52.1803792219518
2736,  4424 - Lieg4424,"Acer pseudoplatanus, Berg-Ahorn",97,8,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6496582053021,52.1803665468939
2737,  4425 - Lieg4425,"Populus spec., Pappel",400,18,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6492391311362,52.1818067600789
2738,  4426 - Lieg4426,"Populus spec., Pappel",78,14,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6492834387196,52.1816809408341
2739,  4427 - Lieg4427,"Populus spec., Pappel",0,10,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6492230399817,52.1818461515149
2740,  4428 - Lieg4428,"Prunus mahaleb, Weichselkirsche",82,8,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6491983839819,52.1819186499913
2741,  4429 - Lieg4429,"Prunus mahaleb, Weichselkirsche",265,8,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6489128142616,52.1825707677133
2742,  4430 - Lieg4430,"Acer pseudoplatanus, Berg-Ahorn",75,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.649967541781,52.1798414144301
2743,  4442 - Lieg4442,"Populus canadensis Hybride, Schwarzpappel-Hybride",83,17,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6498987759641,52.179651857351
2744,  4443 - Lieg4443,"Populus canadensis Hybride, Schwarzpappel-Hybride",107,17,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499278620022,52.1796342067425
2745,  4444 - Lieg4444,"Populus canadensis Hybride, Schwarzpappel-Hybride",85,17,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499655523056,52.1796431620725
